"","X.1","X","budget","timing","puppy_vac","female_ster","contact_cost_scale","bite_scale","dog_days","prob_outbreak","max_prev","max_vacc","total_cost"
"1",1,1,5000,"annual",0,0,1,0.5,6.4,8,2.13,20,43218
"2",2,2,20000,"annual",0,0,1,0.5,4.14,4,2.09,45,58245
"3",3,3,40000,"annual",0,0,1,0.5,2.91,2,2.04,66,78185
"4",4,4,5000,"annual",1,0,1,0.5,6.35,8,2.16,22,43210
"5",5,5,20000,"annual",1,0,1,0.5,3.91,4,2.11,49,58226
"6",6,6,40000,"annual",1,0,1,0.5,2.59,2,2.06,71,78181
"7",7,7,5000,"annual",0,0,1,1.5,564.26,41,13.39,34,48230
"8",8,8,20000,"annual",0,0,1,1.5,116.71,25,5.4,47,59241
"9",9,9,40000,"annual",0,0,1,1.5,14.82,14,2.94,66,78266
"10",10,10,5000,"annual",1,0,1,1.5,535.79,40,12.82,35,48015
"11",11,11,20000,"annual",1,0,1,1.5,82.68,23,4.64,50,58901
"12",12,12,40000,"annual",1,0,1,1.5,11.54,13,2.72,71,78247
"13",13,13,5000,"biennial",0,0,1,0.5,6.74,8,2.14,27,43240
"14",14,14,20000,"biennial",0,0,1,0.5,4.8,5,2.11,58,58178
"15",15,15,40000,"biennial",0,0,1,0.5,3.71,4,2.03,81,78207
"16",16,16,5000,"biennial",1,0,1,0.5,6.68,8,2.16,29,43235
"17",17,17,20000,"biennial",1,0,1,0.5,4.65,4,2.12,63,58180
"18",18,18,40000,"biennial",1,0,1,0.5,3.5,3,2.12,87,78204
"19",19,19,5000,"biennial",0,0,1,1.5,596.65,45,11.93,37,48723
"20",20,20,20000,"biennial",0,0,1,1.5,94.06,31,4.77,58,59059
"21",21,21,40000,"biennial",0,0,1,1.5,23.6,22,3.31,81,78352
"22",22,22,5000,"biennial",1,0,1,1.5,578.78,45,11.49,39,48519
"23",23,23,20000,"biennial",1,0,1,1.5,74.09,30,4.5,63,58808
"24",24,24,40000,"biennial",1,0,1,1.5,21.42,21,3.29,87,78359
"25",25,25,5000,"annual",0,0,1,0.5,6.21,7,2.13,20,43184
"26",26,26,20000,"annual",0,0,1,0.5,4.03,4,2.1,45,58181
"27",27,27,40000,"annual",0,0,1,0.5,2.7,2,2.05,66,78186
"28",28,28,5000,"annual",0,1,1,0.5,8.94,11,2.21,3,42866
"29",29,29,20000,"annual",0,1,1,0.5,7.3,8,2.2,15,56937
"30",30,30,40000,"annual",0,1,1,0.5,6.18,7,2.17,31,75838
"31",31,31,5000,"annual",0,0,1,1.5,572.18,43,13.02,34,48415
"32",32,32,20000,"annual",0,0,1,1.5,118.16,27,5.23,47,59286
"33",33,33,40000,"annual",0,0,1,1.5,15.84,15,2.94,66,78314
"34",34,34,5000,"annual",0,1,1,1.5,1035.62,54,20.23,19,52259
"35",35,35,20000,"annual",0,1,1,1.5,661.05,47,15.68,37,62607
"36",36,36,40000,"annual",0,1,1,1.5,408.88,40,10.46,45,79444
